date_local,summer_year,daily_peak_mw,is_top5,hour_of_peak
2020-07-07,2020,136203,FALSE,17
2020-07-08,2020,139446,FALSE,17
2020-07-09,2020,144329,TRUE,18
2020-07-10,2020,127951,FALSE,16
2020-07-11,2020,122954,FALSE,18
2020-07-12,2020,117092,FALSE,18
2020-07-13,2020,128526,FALSE,18
2020-07-14,2020,131031,FALSE,18
2020-07-15,2020,133404,FALSE,18
2020-07-16,2020,128543,FALSE,18
2020-07-17,2020,138158,FALSE,18
2020-07-18,2020,138827,FALSE,18
2020-07-19,2020,136404,FALSE,18
2020-07-20,2020,145428,TRUE,17
2020-07-21,2020,141567,FALSE,17
2020-07-22,2020,137563,FALSE,16
2020-07-23,2020,134697,FALSE,17
2020-07-24,2020,128553,FALSE,18
2020-07-25,2020,133237,FALSE,18
2020-07-26,2020,140136,FALSE,18
2020-07-27,2020,144562,TRUE,17
2020-07-28,2020,140908,FALSE,18
2020-07-29,2020,141853,TRUE,18
2020-07-30,2020,134691,FALSE,16
2020-07-31,2020,120648,FALSE,18
2020-08-01,2020,117584,FALSE,18
2020-08-02,2020,121406,FALSE,18
2020-08-03,2020,98429,FALSE,0
2020-08-04,2020,108871,FALSE,18
2020-08-05,2020,116922,FALSE,18
2020-08-06,2020,115618,FALSE,17
2020-08-07,2020,118076,FALSE,17
2020-08-08,2020,118797,FALSE,18
2020-08-09,2020,130155,FALSE,18
2020-08-10,2020,141498,FALSE,16
2020-08-11,2020,138808,FALSE,18
2020-08-12,2020,134277,FALSE,16
2020-08-13,2020,138575,FALSE,9
2020-08-14,2020,129982,FALSE,16
2020-08-15,2020,108826,FALSE,17
2020-08-16,2020,102161,FALSE,18
2020-08-17,2020,118751,FALSE,17
2020-08-18,2020,116459,FALSE,18
2020-08-19,2020,113906,FALSE,18
2020-08-20,2020,117732,FALSE,18
2020-08-21,2020,122430,FALSE,18
2020-08-22,2020,121327,FALSE,18
2020-08-23,2020,125473,FALSE,18
2020-08-24,2020,141058,FALSE,17
2020-08-25,2020,139448,FALSE,17
2020-08-26,2020,130276,FALSE,18
2020-08-27,2020,141606,FALSE,17
2020-08-28,2020,134061,FALSE,16
2020-08-29,2020,114858,FALSE,18
2020-08-30,2020,102548,FALSE,18
2020-08-31,2020,106332,FALSE,18
2020-09-01,2020,112332,FALSE,17
2020-09-02,2020,124957,FALSE,17
2020-09-03,2020,126563,FALSE,16
2020-09-04,2020,117663,FALSE,17
2020-09-05,2020,98530,FALSE,18
2020-09-06,2020,98275,FALSE,18
2020-09-07,2020,104078,FALSE,18
2020-09-08,2020,120566,FALSE,17
2020-09-09,2020,115985,FALSE,17
2020-09-10,2020,116640,FALSE,17
2020-09-11,2020,102817,FALSE,15
2020-09-12,2020,94340,FALSE,18
2020-09-13,2020,98203,FALSE,18
2020-09-14,2020,99070,FALSE,16
2020-09-15,2020,88211,FALSE,18
2020-09-16,2020,91845,FALSE,18
2020-09-17,2020,90881,FALSE,17
2020-09-18,2020,85190,FALSE,14
2020-09-19,2020,74883,FALSE,21
2020-09-20,2020,76515,FALSE,21
2020-09-21,2020,83518,FALSE,20
2020-09-22,2020,85161,FALSE,20
2020-09-23,2020,90512,FALSE,18
2020-09-24,2020,89930,FALSE,18
2020-09-25,2020,90951,FALSE,17
2020-09-26,2020,85919,FALSE,20
2020-09-27,2020,89957,FALSE,20
2020-09-28,2020,98995,FALSE,17
2020-09-29,2020,91484,FALSE,15
2020-09-30,2020,84847,FALSE,20
2021-06-01,2021,92335,FALSE,18
2021-06-02,2021,95226,FALSE,18
2021-06-03,2021,101842,FALSE,18
2021-06-04,2021,111911,FALSE,18
2021-06-05,2021,121413,FALSE,18
2021-06-06,2021,126340,FALSE,18
2021-06-07,2021,132533,FALSE,17
2021-06-08,2021,132002,FALSE,16
2021-06-09,2021,128985,FALSE,17
2021-06-10,2021,126262,FALSE,16
2021-06-11,2021,110469,FALSE,15
2021-06-12,2021,104688,FALSE,18
2021-06-13,2021,108416,FALSE,18
