rep,ev_low,ev_mid,ev_high
324,54599.82285714285,72982.13535714285,74306.90285714286
325,58314.108571428565,76696.42107142856,78021.18857142857
326,53171.25142857142,71553.56392857143,72878.33142857144
327,54314.108571428565,72696.42107142856,74021.18857142857
328,55171.25142857142,73553.56392857143,74878.33142857144
329,52885.53714285714,71267.84964285714,72592.61714285715
330,54599.82285714285,72982.13535714285,74306.90285714286
331,52599.82285714285,70982.13535714285,72306.90285714286
332,56314.108571428565,74696.42107142856,76021.18857142857
333,55456.96571428571,73839.2782142857,75164.04571428572
334,56599.82285714285,74982.13535714285,76306.90285714286
335,52599.82285714285,70982.13535714285,72306.90285714286
336,60028.394285714276,78410.70678571428,79735.4742857143
337,53171.25142857142,71553.56392857143,72878.33142857144
338,49742.67999999999,68124.9925,69449.76000000001
339,52885.53714285714,71267.84964285714,72592.61714285715
340,54028.394285714276,72410.70678571428,73735.4742857143
341,53171.25142857142,71553.56392857143,72878.33142857144
342,58885.53714285714,77267.84964285714,78592.61714285715
343,54599.82285714285,72982.13535714285,74306.90285714286
344,57456.96571428571,75839.2782142857,77164.04571428572
345,54314.108571428565,72696.42107142856,74021.18857142857
346,53456.96571428571,71839.2782142857,73164.04571428572
347,52028.394285714276,70410.70678571428,71735.4742857143
348,59456.96571428571,77839.2782142857,79164.04571428572
349,55456.96571428571,73839.2782142857,75164.04571428572
350,56599.82285714285,74982.13535714285,76306.90285714286
351,56885.53714285714,75267.84964285714,76592.61714285715
352,52028.394285714276,70410.70678571428,71735.4742857143
353,64028.394285714276,82410.70678571428,83735.4742857143
354,54314.108571428565,72696.42107142856,74021.18857142857
355,52599.82285714285,70982.13535714285,72306.90285714286
356,54599.82285714285,72982.13535714285,74306.90285714286
357,52028.394285714276,70410.70678571428,71735.4742857143
358,49171.25142857142,67553.56392857143,68878.33142857144
359,55456.96571428571,73839.2782142857,75164.04571428572
360,49171.25142857142,67553.56392857143,68878.33142857144
361,51456.96571428571,69839.2782142857,71164.04571428572
362,58599.82285714285,76982.13535714285,78306.90285714286
363,57742.67999999999,76124.9925,77449.76000000001
364,58599.82285714285,76982.13535714285,78306.90285714286
365,53742.67999999999,72124.9925,73449.76000000001
366,52314.108571428565,70696.42107142856,72021.18857142857
367,52314.108571428565,70696.42107142856,72021.18857142857
368,55171.25142857142,73553.56392857143,74878.33142857144
369,52599.82285714285,70982.13535714285,72306.90285714286
370,54599.82285714285,72982.13535714285,74306.90285714286
371,55742.67999999999,74124.9925,75449.76000000001
372,56885.53714285714,75267.84964285714,76592.61714285715
373,52599.82285714285,70982.13535714285,72306.90285714286
